Sl. No.,State/ UT Name,2013,2014,2015
1,Andaman & Nicobar Islands,243703,285146,296684
2,Andhra Pradesh,98017783,93306974,121591054
3,Arunachal Pradesh,125461,335974,352067
4,Assam,4684527,4826702,5491845
5,Bihar,21588306,22544377,28029118
6,Chandigarh,936922,1061419,1073842
7,Chhattisgarh,22801031,24488465,18327841
8,Dadra & Nagar Haveli,481618,579638,527782
9,Daman & Diu,819947,795167,790911
10,Delhi,20215187,22626859,25258051
11,Goa,2629151,3544634,4756422
12,Gujarat,27412517,30912043,36288463
13,Haryana,7128027,7467064,7395496
14,Himachal Pradesh,14715586,15924701,17125045
15,Jharkhand,10891424,9438544,9145016
16,Jammu & Kashmir,20511160,33427144,33079530
17,Karnataka,98010140,118283220,119863942
18,Kerala,10857811,11695411,12465571
19,Lakshadweep,4784,7315,17241
20,Madhya Pradesh,63110709,63614525,77975738
21,Maharashtra,82700556,92632097,103403934
22,Manipur,140673,115499,146169
23,Meghalaya,691269,716469,751165
24,Mizoram,63377,68203,66605
25,Nagaland,35638,58507,64616
26,Odisha,9800135,10790622,11786117
27,Puducherry,1000277,1188093,1297192
28,Punjab,21340888,24271302,25796361
29,Rajasthan,30298150,33076491,35187573
30,Sikkim,576749,562418,705023
31,Tamil Nadu,244232487,327555233,333459047
32,Telangana,359586,361247,363172
33,Tripura,54084367,72399113,94516316
34,Uttar Pradesh,226531091,182820108,204888457
35,Uttarakhand,19941128,21991315,29496938
36,West Bengal,25547300,49029590,70193450
Total,Total,1142529465,1282801629,143197379
