Sl. No.,State/ UT Name,2013,2014,2015
1,Andaman & Nicobar Islands,14742,17235,14674
2,Andhra Pradesh,69552,66333,237854
3,Arunachal Pradesh,10846,5204,5705
4,Assam,17638,21537,24720
5,Bihar,765835,829508,923737
6,Chandigarh,40124,28365,29538
7,Chhattisgarh,3886,7777,6394
8,Dadra & Nagar Haveli,1582,1799,1797
9,Daman & Diu,4814,4620,5858
10,Delhi,2301395,2319046,2379169
11,Goa,492322,513592,541480
12,Gujarat,198773,235524,284973
13,Haryana,228200,314757,303118
14,Himachal Pradesh,414249,389699,406108
15,Jharkhand,45995,154731,167785
16,Jammu & Kashmir,60845,86477,58568
17,Karnataka,636378,561870,636502
18,Kerala,858143,923366,977479
19,Lakshadweep,371,514,1173
20,Madhya Pradesh,280333,316195,421365
21,Maharashtra,4156343,4389098,4408916
22,Manipur,1908,2769,3260
23,Meghalaya,6773,8664,8027
24,Mizoram,800,921,798
25,Nagaland,3304,2585,2769
26,Odisha,66675,71426,66971
27,Puducherry,42624,83291,106153
28,Punjab,204074,255449,242367
29,Rajasthan,1437162,1525574,1475311
30,Sikkim,31698,49175,38479
31,Tamil Nadu,3990490,4657630,4684707
32,Telangana,153966,75171,126078
33,Tripura,11853,26688,34886
34,Uttar Pradesh,2054420,2909735,3104062
35,Uttarakhand,97683,101966,105882
36,West Bengal,1245230,1375740,1489500
Total,Total,19951026,22334031,23326163
